,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
0,Barrow,71.29,-156.79,-18.0,77,90,2.1
1,Thompson,55.74,-97.86,-26.0,68,5,3.6
2,Mataura,-46.19,168.86,13.33,98,100,1.34
3,Lompoc,34.64,-120.46,9.49,100,40,3.1
4,Khatanga,71.97,102.5,-38.18,98,2,3.15
5,Matagami,49.75,-77.63,-14.0,77,1,4.1
6,Hambantota,6.12,81.12,27.0,88,20,1.0
7,Kuruman,-27.45,23.43,30.56,31,0,3.0
8,Mogadishu,2.04,45.34,30.0,66,75,5.1
9,Hong Kong,22.29,114.16,21.43,83,20,3.1
10,Mossamedes,-15.2,12.15,25.42,83,0,8.43
11,Tarpon Springs,28.15,-82.76,12.34,40,1,4.6
12,Manta,-0.95,-80.73,24.72,90,100,1.92
13,Kasongo,-4.45,26.67,30.82,76,100,0.89
14,Chokurdakh,70.63,147.92,-24.38,74,0,2.09
15,Masterton,-40.96,175.66,9.88,82,100,1.16
16,Cape Town,-33.93,18.42,26.54,54,0,5.7
17,Dingle,11.0,122.67,23.22,92,100,3.24
18,Moranbah,-22.0,148.05,24.92,80,0,3.28
19,Namatanai,-3.67,152.43,28.62,75,100,3.66
20,Mokhsogollokh,61.47,128.92,-13.48,92,100,2.47
21,Vaini,-21.2,-175.2,23.0,94,90,1.5
22,Kamenka,51.32,42.77,6.96,75,100,4.47
23,Saint Paul Harbor,57.79,-152.41,-7.0,79,1,3.6
24,Vaitape,-16.52,-151.75,28.42,71,100,2.92
25,Sabang,5.89,95.32,28.62,73,85,4.41
26,Dimitrovgrad,54.21,49.62,1.0,69,100,10.0
27,Tomatlán,19.93,-105.25,25.32,44,24,1.2
28,Rikitea,-23.12,-134.97,24.72,91,100,5.21
29,Blackwater,-23.58,148.88,24.92,76,77,4.36
30,Puerto Escondido,15.85,-97.07,28.0,39,5,1.85
31,Castro,-24.79,-50.01,26.22,39,50,0.27
32,Arraial do Cabo,-22.97,-42.03,26.48,74,20,6.7
33,Yumen,40.28,97.2,2.32,42,100,4.24
34,Gigmoto,13.78,124.39,26.82,85,98,4.73
35,Mezhdurechensk,53.69,88.06,-19.18,97,91,2.45
36,Mar del Plata,-38.0,-57.56,25.29,69,67,7.2
37,Saint George,37.1,-113.58,8.91,49,90,2.4
38,Warner Robins,32.62,-83.6,6.39,52,1,4.6
39,Jizan,17.33,42.67,29.0,70,85,7.2
40,Tiquisate,14.28,-91.37,25.91,57,75,1.69
41,Albany,42.6,-73.97,-1.99,45,1,3.6
42,Bherāmāra,24.02,88.99,23.62,54,0,3.08
43,Yellowknife,62.46,-114.35,-33.73,66,5,3.1
44,Glinka,54.64,32.88,9.42,83,100,2.54
45,Oranjemund,-28.55,16.43,28.12,41,2,6.55
46,Kokemäki,61.26,22.36,3.99,60,90,2.1
47,Hermanus,-34.42,19.23,24.32,79,0,3.58
48,Punta Arenas,-53.15,-70.92,10.84,76,22,7.2
49,Noumea,-22.28,166.46,24.0,88,100,2.1
50,Ushuaia,-54.8,-68.3,8.56,76,90,11.3
51,Tuktoyaktuk,69.45,-133.04,-29.0,75,20,6.2
52,Nishihara,26.18,127.76,20.0,82,90,4.68
53,Mahanje,-9.93,35.33,24.02,88,53,2.0
54,Garoua,9.3,13.4,40.0,7,16,1.5
55,San Quintín,30.48,-115.95,14.02,78,100,2.35
56,Fortuna,40.6,-124.16,6.31,100,90,0.28
57,Bluff,-46.6,168.33,13.33,97,100,1.79
58,Ponta do Sol,32.67,-17.1,18.38,55,75,6.2
